,Kindom,Phylum,Class,Order,Family,Genus,Species
FDZ058.Be4.6.dereplicated_genomes.bin.164,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,,,
FDZ058.Be4.6.dereplicated_genomes.bin.184,Bacteria,Desulfobacterota,GWC2-55-46,GWC2-55-46,,,
FDZ058.Be4.6.dereplicated_genomes.bin.190,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,,
FDZ058.Be4.6.dereplicated_genomes.bin.41,Bacteria,Nitrospirota,,,,,
FDZ058.Be4.6.dereplicated_genomes.bin.45,Bacteria,Planctomycetota,Brocadiae,Brocadiales,,,
FDZ058.Be4.6.dereplicated_genomes.bin.68,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ058.Be4.6.dereplicated_genomes.bin.80,Bacteria,Proteobacteria,Gammaproteobacteria,SZUA-229,SZUA-229,,
FDZ058.Be6.8.dereplicated_genomes.bin.115,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ058.Be6.8.dereplicated_genomes.bin.39,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Emcibacteraceae,Paremcibacter,
FDZ058.Be6.8.dereplicated_genomes.bin.73,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,UBA2165,,
FDZ058.Be8.10.dereplicated_genomes.bin.114,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Colwellbacteraceae,,
FDZ058.Be8.10.dereplicated_genomes.bin.117,Bacteria,Actinobacteriota,Acidimicrobiia,UBA5794,UBA5794,,
FDZ058.Be8.10.dereplicated_genomes.bin.119,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,GCA-002770795,,
FDZ058.Be8.10.dereplicated_genomes.bin.137,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,GCA-2746185,,
FDZ058.Be8.10.dereplicated_genomes.bin.149,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ058.Be8.10.dereplicated_genomes.bin.151,Bacteria,UBP15,UBA6099,UBA6099,,,
FDZ058.Be8.10.dereplicated_genomes.bin.158,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,SZUA-36,SZUA-36,
FDZ058.Be8.10.dereplicated_genomes.bin.174,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,,
FDZ058.Be8.10.dereplicated_genomes.bin.182,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,,
FDZ058.Be8.10.dereplicated_genomes.bin.2,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,GCA-2746185,,
FDZ058.Be8.10.dereplicated_genomes.bin.207,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
FDZ058.Be8.10.dereplicated_genomes.bin.209,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,SZUA-36,SZUA-36,
FDZ058.Be8.10.dereplicated_genomes.bin.32,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ058.Be8.10.dereplicated_genomes.bin.39,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,JAACFB01,
FDZ058.Be8.10.dereplicated_genomes.bin.40,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,UBA10348,,
FDZ058.Be8.10.dereplicated_genomes.bin.47,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,,
FDZ058.Be8.10.dereplicated_genomes.bin.51,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Micrococcus,
FDZ058.Be8.10.dereplicated_genomes.bin.54,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
FDZ058.Be8.10.dereplicated_genomes.bin.71,Bacteria,Omnitrophota,Koll11,UBA10015,Kpj58rc,,
FDZ058.Be8.10.dereplicated_genomes.bin.75,Bacteria,Calditrichota,Calditrichia,Calditrichales,J004,,
FDZ060.GBeBe10.12.dereplicated_genomes.bin.16,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ060.GBeBe14.16.dereplicated_genomes.bin.35,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,,
FDZ060.GBeBe14.16.dereplicated_genomes.bin.48,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,,
FDZ060.GBeBe14.16.dereplicated_genomes.bin.49,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,SZUA-117,
FDZ060.GBeBe16.18.dereplicated_genomes.bin.51,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,,
FDZ060.GBeBe18.20.dereplicated_genomes.bin.24,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,,
FDZ060.GBeBe18.20.dereplicated_genomes.bin.61,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,UBA1847,
FDZ060.GBeBe18.20.dereplicated_genomes.bin.65,Bacteria,Actinobacteriota,Acidimicrobiia,UBA5794,ZC4RG35,,
FDZ060.GBeBe18.20.dereplicated_genomes.bin.67,Bacteria,Patescibacteria,Gracilibacteria,UM-FILTER-43-11,UM-FILTER-43-11,,
FDZ060.GYBk0.2.dereplicated_genomes.bin.25,Bacteria,Proteobacteria,Gammaproteobacteria,GCA-001735895,GCA-001735895,GCA-001735895,
FDZ060.HbG0.2.dereplicated_genomes.bin.28,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,,
FDZ060.HbY0.2.dereplicated_genomes.bin.49,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Casp-alpha2,Casp-alpha2,
FDZ060.HbY12.14.dereplicated_genomes.bin.101,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,,,
FDZ060.HbY12.14.dereplicated_genomes.bin.11,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Bythopirellula,
FDZ060.HbY12.14.dereplicated_genomes.bin.31,Bacteria,Proteobacteria,Gammaproteobacteria,UBA4486,UBA4486,,
FDZ060.HbY12.14.dereplicated_genomes.bin.34,Bacteria,Planctomycetota,SZUA-567,,,,
FDZ060.HbY12.14.dereplicated_genomes.bin.56,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,UBA9145,
FDZ060.HbY12.14.dereplicated_genomes.bin.59,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,,
FDZ060.HbY12.14.dereplicated_genomes.bin.64,Bacteria,Sumerlaeota,Sumerlaeia,,,,
FDZ060.HbY12.14.dereplicated_genomes.bin.81,Bacteria,Myxococcota,Polyangia,Polyangiales,JAFGIB01,,
FDZ060.HbY14.16.dereplicated_genomes.bin.13,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,,,
FDZ060.HbY14.16.dereplicated_genomes.bin.135,Bacteria,Myxococcota_A,UBA9160,UBA9160,UBA4427,UBA4427,
FDZ060.HbY14.16.dereplicated_genomes.bin.140,Bacteria,4484-113,4484-113,4484-113,,,
FDZ060.HbY14.16.dereplicated_genomes.bin.149,Bacteria,Omnitrophota,Koll11,UBA10015,Kpj58rc,2-02-FULL-52-10,
FDZ060.HbY14.16.dereplicated_genomes.bin.24,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Casp-alpha2,,
FDZ060.HbY14.16.dereplicated_genomes.bin.40,Bacteria,Proteobacteria,Alphaproteobacteria,UBA7887,UBA7887,,
FDZ060.HbY14.16.dereplicated_genomes.bin.52,Bacteria,Verrucomicrobiota,Kiritimatiellae,UBA8416,,,
FDZ060.HbY14.16.dereplicated_genomes.bin.54,Bacteria,,,,,,
FDZ060.HbY14.16.dereplicated_genomes.bin.55,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,,
FDZ060.HbY14.16.dereplicated_genomes.bin.69,Bacteria,Marinisomatota,Marinisomatia,SCGC-AAA003-L08,TS1B11,TS1B11,
FDZ060.HbY14.16.dereplicated_genomes.bin.81,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,SZUA-36,SZUA-36,
FDZ060.HbY14.16.dereplicated_genomes.bin.9,Bacteria,Omnitrophota,Koll11,1-14-0-20-64-10,1-14-0-20-64-10,,
FDZ060.HbY14.16.dereplicated_genomes.bin.92,Bacteria,Nitrospirota,Nitrospiria,,,,
FDZ060.HbY16.18.dereplicated_genomes.bin.107,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Kangiellaceae,Aliikangiella,
FDZ060.HbY16.18.dereplicated_genomes.bin.144,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,,
FDZ060.HbY16.18.dereplicated_genomes.bin.45,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,,
FDZ060.HbY16.18.dereplicated_genomes.bin.81,Bacteria,Patescibacteria,Gracilibacteria,UBA4473,UBA4473,,
FDZ060.HbY16.18.dereplicated_genomes.bin.82,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,,
FDZ060.HbY16.18.dereplicated_genomes.bin.90,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,,
FDZ060.HbY24.26.dereplicated_genomes.bin.38,Bacteria,Planctomycetota,SZUA-567,,,,
FDZ060.HbY24.26.dereplicated_genomes.bin.4,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,JAACFB01,
FDZ060.HbY8.10.dereplicated_genomes.bin.14,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,,,
FDZ060.NsD1.dereplicated_genomes.bin.52,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,
FDZ060.NsHhwD2.dereplicated_genomes.bin.82,Bacteria,Eisenbacteria,RBG-16-71-46,,,,
FDZ060.NsHhwD3.dereplicated_genomes.bin.22,Bacteria,Acidobacteriota,UBA6911,RPQK01,,,
FDZ060.RGYNs2.dereplicated_genomes.bin.49,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_A,
FDZ060.WuYYNs.dereplicated_genomes.bin.102,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
FDZ060.WuYYNs.dereplicated_genomes.bin.38,Bacteria,Acidobacteriota,Acidobacteriae,,,,
FDZ061.WW0.2.dereplicated_genomes.bin.37,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,UBA2767,
FDZ061.WW10.12.dereplicated_genomes.bin.115,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,,,
FDZ061.WW10.12.dereplicated_genomes.bin.49,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
FDZ061.WW10.12.dereplicated_genomes.bin.70,Bacteria,Marinisomatota,Marinisomatia,SCGC-AAA003-L08,,,
FDZ061.WW10.12.dereplicated_genomes.bin.71,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,,
FDZ061.WW10.12.dereplicated_genomes.bin.75,Bacteria,Omnitrophota,Koll11,UBA9649,UBA9649,,
FDZ061.WW10.12.dereplicated_genomes.bin.94,Bacteria,Omnitrophota,Koll11,UBA9649,UBA9649,,
FDZ061.WW12.14.dereplicated_genomes.bin.101,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,,,
FDZ061.WW12.14.dereplicated_genomes.bin.68,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,,,
FDZ061.WW12.14.dereplicated_genomes.bin.79,Bacteria,Acidobacteriota,UBA890,UBA890,,,
FDZ061.WW20.22.dereplicated_genomes.bin.23,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,UBA2156,UBA2156,
FDZ061.WW20.22.dereplicated_genomes.bin.44,Bacteria,Planctomycetota,,,,,
FDZ061.WW22.24.dereplicated_genomes.bin.1,Bacteria,Aerophobota,Aerophobia,Aerophobales,AE-B3A,,
FDZ061.WW24.26.dereplicated_genomes.bin.15,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ061.WW24.26.dereplicated_genomes.bin.19,Bacteria,Omnitrophota,Koll11,SKK-01,SKK-01,,
FDZ061.WW24.26.dereplicated_genomes.bin.2,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973,
FDZ061.WW24.26.dereplicated_genomes.bin.20,Bacteria,Elusimicrobiota,Elusimicrobia,,,,
FDZ061.WW24.26.dereplicated_genomes.bin.29,Bacteria,Omnitrophota,Koll11,UBA1572,,,
FDZ061.WW24.26.dereplicated_genomes.bin.53,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,,,
FDZ061.WW24.26.dereplicated_genomes.bin.57,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,,
FDZ061.WW24.26.dereplicated_genomes.bin.98,Bacteria,Patescibacteria,ABY1,CAIXNZ01,CAIXNZ01,,
FDZ061.WW26.28.dereplicated_genomes.bin.106,Bacteria,Patescibacteria,,,,,
FDZ061.WW26.28.dereplicated_genomes.bin.14,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,SZUA-36,,
FDZ061.WW26.28.dereplicated_genomes.bin.59,Bacteria,Omnitrophota,Koll11,JABMRN01,RBG-13-46-9,,
FDZ061.WW26.28.dereplicated_genomes.bin.78,Bacteria,Planctomycetota,MHYJ01,JACQXL01,,,
FDZ061.WW28.30.dereplicated_genomes.bin.112,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,,,
FDZ061.WW28.30.dereplicated_genomes.bin.45,Bacteria,,,,,,
FDZ061.WW28.30.dereplicated_genomes.bin.53,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,,
FDZ061.WW28.30.dereplicated_genomes.bin.69,Bacteria,Omnitrophota,Koll11,SKK-01,SKK-01,,
FDZ061.WW28.30.dereplicated_genomes.bin.8,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,,,
FDZ061.WW30.32.dereplicated_genomes.bin.62,Bacteria,Omnitrophota,Koll11,UBA10183,UBA10183,,
FDZ061.WW30.32.dereplicated_genomes.bin.77,Bacteria,Patescibacteria,Gracilibacteria,UM-FILTER-43-11,UM-FILTER-43-11,,
FDZ061.WW30.32.dereplicated_genomes.bin.78,Bacteria,UBP18,UBA7526,UBA7526,UBA7526,,
FDZ061.WW32.34.dereplicated_genomes.bin.20,Bacteria,Omnitrophota,Koll11,,,,
FDZ061.WW32.34.dereplicated_genomes.bin.29,Bacteria,Omnitrophota,Koll11,,,,
FDZ061.WW6.8.dereplicated_genomes.bin.78,Bacteria,Planctomycetota,SZUA-567,,,,
FDZ061.WW6.8.dereplicated_genomes.bin.83,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ061.WW6.8.dereplicated_genomes.bin.93,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,,
FDZ061.WW8.10.dereplicated_genomes.bin.108,Bacteria,Elusimicrobiota,Elusimicrobia,F11,,,
FDZ061.WW8.10.dereplicated_genomes.bin.110,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973,
FDZ061.WW8.10.dereplicated_genomes.bin.111,Bacteria,Patescibacteria,Gracilibacteria,UBA4473,UBA4473,,
FDZ061.WW8.10.dereplicated_genomes.bin.117,Bacteria,Omnitrophota,Koll11,2-02-FULL-51-18,,,
FDZ061.WW8.10.dereplicated_genomes.bin.12,Bacteria,Proteobacteria,Alphaproteobacteria,MPNO01,UBA2964,,
FDZ061.WW8.10.dereplicated_genomes.bin.4,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ061.WW8.10.dereplicated_genomes.bin.40,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,,,
FDZ061.WW8.10.dereplicated_genomes.bin.45,Bacteria,Fibrobacterota,Fibrobacteria,UBA11236,,,
FDZ061.WW8.10.dereplicated_genomes.bin.58,Bacteria,Omnitrophota,Koll11,UBA10015,Kpj58rc,,
FDZ061.WW8.10.dereplicated_genomes.bin.68,Bacteria,Planctomycetota,SZUA-567,,,,
FDZ061.WW8.10.dereplicated_genomes.bin.99,Bacteria,Elusimicrobiota,Elusimicrobia,F11,F11,,
FDZ062.GYBe14.16.dereplicated_genomes.bin.11,Bacteria,Acidobacteriota,UBA890,UBA890,,,
FDZ062.GYBe14.16.dereplicated_genomes.bin.16,Bacteria,Nitrospirota,Nitrospiria,SBBL01,JAADHI01,,
FDZ062.GYBe14.16.dereplicated_genomes.bin.32,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,,
FDZ062.GYBe14.16.dereplicated_genomes.bin.4,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,,
FDZ062.GYBe26.28.dereplicated_genomes.bin.7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,2-02-FULL-58-16,,
FDZ062.GYBe28.30.dereplicated_genomes.bin.8,Bacteria,Acidobacteriota,Acidobacteriae,Acidoferrales,2-02-FULL-67-57,,
FDZ062.GYBk0.2.dereplicated_genomes.bin.2,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,E44-bin32,,
FDZ062.GYBk28.30.dereplicated_genomes.bin.2,Bacteria,Marinisomatota,Marinisomatia,SCGC-AAA003-L08,,,
FDZ062.GYBk28.30.dereplicated_genomes.bin.23,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11579,,
FDZ062.GYBk4.6.dereplicated_genomes.bin.101,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,,
FDZ062.GYBk4.6.dereplicated_genomes.bin.107,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ062.GYBk4.6.dereplicated_genomes.bin.14,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,CAIYRG01,
FDZ062.GYBk4.6.dereplicated_genomes.bin.20,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,UBA4096,
FDZ062.GYBk4.6.dereplicated_genomes.bin.90,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ062.RGG_WuYW_Ns_NsHhw.dereplicated_genomes.bin.72,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,,,
FDZ062.RRR0.2.dereplicated_genomes.bin.32,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Qipengyuania,
FDZ062.RRR0.2.dereplicated_genomes.bin.42,Bacteria,Bdellovibrionota_E,O2-12-FULL-43-9,2-02-FULL-40-11,2-02-FULL-40-11,,
FDZ062.RRR0.2.dereplicated_genomes.bin.52,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Colwellbacteraceae,,
FDZ062.RRR0.2.dereplicated_genomes.bin.56,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,
FDZ062.RRR0.2.dereplicated_genomes.bin.57,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,,
FDZ062.RRR0.2.dereplicated_genomes.bin.61,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,,
FDZ062.RRR0.2.dereplicated_genomes.bin.81,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Psychrobiaceae,Psychrobium,
FDZ062.RRR12.14.dereplicated_genomes.bin.18,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ062.RRR14.16.dereplicated_genomes.bin.22,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NORP154,,
FDZ062.RRR14.16.dereplicated_genomes.bin.26,Bacteria,Marinisomatota,Marinisomatia,SCGC-AAA003-L08,,,
FDZ062.RRR14.16.dereplicated_genomes.bin.29,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ062.RRR14.16.dereplicated_genomes.bin.32,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA1565,,
FDZ062.RRR14.16.dereplicated_genomes.bin.7,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
FDZ062.RRR18.20.dereplicated_genomes.bin.8,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,PALSA-1355,,
FDZ062.RRR2.4.dereplicated_genomes.bin.14,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Psychrobiaceae,Psychrobium,
FDZ062.RRR24.26.dereplicated_genomes.bin.7,Bacteria,Marinisomatota,SORT01,SORT01,SORT01,SORT01,
FDZ062.RRR28.30.dereplicated_genomes.bin.4,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,,,
FDZ062.RRR28.30.dereplicated_genomes.bin.7,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,,,
FDZ062.RRR4.6.dereplicated_genomes.bin.19,Bacteria,,,,,,
FDZ062.WuWR0.2.dereplicated_genomes.bin.47,Bacteria,Myxococcota_A,UBA9160,UBA9160,SMWR01,,
FDZ062.WuWR2.4.dereplicated_genomes.bin.23,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ062.WuWR4.6.dereplicated_genomes.bin.7,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5704,UBA5704,,
FDZ062.WuWW0.2.dereplicated_genomes.bin.27,Bacteria,SAR324,SAR324,SAR324,,,
FDZ062.WuWW14.16.dereplicated_genomes.bin.8,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,SCKK01,,
FDZ062.WuWW18.20.dereplicated_genomes.bin.7,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ062.WuWW2.4.dereplicated_genomes.bin.10,Bacteria,Marinisomatota,Marinisomatia,SCGC-AAA003-L08,TS1B11,TS1B11,
FDZ062.WuWW2.4.dereplicated_genomes.bin.13,Bacteria,Proteobacteria,Alphaproteobacteria,UBA828,UBA828,PTKB01,
FDZ062.WuWW4.6.dereplicated_genomes.bin.45,Bacteria,Bacteroidota,Bacteroidia,,,,
FDZ062.WuWW6.8.dereplicated_genomes.bin.11,Bacteria,Bacteroidota,Bacteroidia,,,,
FDZ062.WuWW6.8.dereplicated_genomes.bin.22,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ062.WuWW8.10.dereplicated_genomes.bin.6,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,,,
FDZ062.WuYW0.2.dereplicated_genomes.bin.103,Bacteria,Omnitrophota,Koll11,UBA10015,Kpj58rc,,
FDZ062.WuYW0.2.dereplicated_genomes.bin.105,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,,,
FDZ062.WuYW0.2.dereplicated_genomes.bin.106,Bacteria,FCPU426,,,,,
FDZ062.WuYW0.2.dereplicated_genomes.bin.122,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Bythopirellula,
FDZ062.WuYW0.2.dereplicated_genomes.bin.124,Bacteria,Elusimicrobiota,Elusimicrobia,F11,F11,,
FDZ062.WuYW0.2.dereplicated_genomes.bin.126,Bacteria,Proteobacteria,Alphaproteobacteria,SHVV01,SHVV01,,
FDZ062.WuYW0.2.dereplicated_genomes.bin.21,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,,,
FDZ062.WuYW0.2.dereplicated_genomes.bin.23,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,SM23-39,,
FDZ062.WuYW0.2.dereplicated_genomes.bin.46,Bacteria,Spirochaetota,,,,,
FDZ062.WuYW0.2.dereplicated_genomes.bin.56,Bacteria,Omnitrophota,Koll11,UBA9649,UBA9649,,
FDZ062.WuYW0.2.dereplicated_genomes.bin.60,Bacteria,Omnitrophota,Omnitrophia,Omnitrophales,UBA2337,,
FDZ062.WuYW0.2.dereplicated_genomes.bin.76,Bacteria,Proteobacteria,Alphaproteobacteria,CAIVPW01,CAIVPW01,,
FDZ062.WuYW0.2.dereplicated_genomes.bin.81,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ062.WuYW0.2.dereplicated_genomes.bin.90,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ062.WuYW10.12.dereplicated_genomes.bin.4,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,,,
FDZ063.WW0.2.dereplicated_genomes.bin.10,Bacteria,Actinobacteriota,Acidimicrobiia,UBA5794,UBA5794,,
FDZ063.WW0.2.dereplicated_genomes.bin.137,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,,
FDZ063.WW0.2.dereplicated_genomes.bin.146,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,UBA10348,,
FDZ063.WW0.2.dereplicated_genomes.bin.21,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5704,UBA5704,,
FDZ063.YBkR2.4.dereplicated_genomes.bin.46,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,PRS1,
FDZ064.BaGW12.14.dereplicated_genomes.bin.17,Bacteria,Actinobacteriota,Acidimicrobiia,UBA5794,ZC4RG35,,
FDZ064.BaGW12.14.dereplicated_genomes.bin.33,Bacteria,Bdellovibrionota,,,,,
FDZ064.BaGW12.14.dereplicated_genomes.bin.45,Bacteria,Myxococcota,Polyangia,Polyangiales,JAFGIB01,,
FDZ064.BaGW12.14.dereplicated_genomes.bin.47,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,2-02-FULL-58-16,,
FDZ064.BaGW12.14.dereplicated_genomes.bin.64,Bacteria,Planctomycetota,UBA8742,UBA2392,UBA2392,,
FDZ064.BaGW12.14.dereplicated_genomes.bin.77,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,,,
FDZ064.BaGW12.14.dereplicated_genomes.bin.78,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,,
FDZ064.BuG0.2.dereplicated_genomes.bin.41,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ064.BuG10.12.7.dereplicated_genomes.bin.44,Bacteria,Nitrospinota,,,,,
FDZ064.BuG10.12.7.dereplicated_genomes.bin.45,Bacteria,Marinisomatota,Marinisomatia,SCGC-AAA003-L08,,,
FDZ064.BuG16.18.dereplicated_genomes.bin.23,Bacteria,Planctomycetota,,,,,
FDZ064.BuG16.18.dereplicated_genomes.bin.33,Bacteria,Omnitrophota,Koll11,UBA10015,Kpj58rc,,
FDZ064.BuG16.18.dereplicated_genomes.bin.4,Bacteria,Planctomycetota,,,,,
FDZ064.BuG4.6.dereplicated_genomes.bin.49,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,,
FDZ064.BuG8.10.dereplicated_genomes.bin.10,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,
FDZ064.GR0.2.dereplicated_genomes.bin.21,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,UBA9145,
FDZ064.GR0.2.dereplicated_genomes.bin.31,Bacteria,Krumholzibacteriota,Krumholzibacteria,LZORAL124-64-63,LZORAL124-64-63,LZORAL124-64-63,
FDZ064.GR0.2.dereplicated_genomes.bin.46,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Altibacter,
FDZ064.GR0.2.dereplicated_genomes.bin.48,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,JAACFB01,
